SimulationTime,CW
0.01,138
0.02,147
0.03,154
0.04,137
0.05,146
0.06,147
0.07,147
0.08,145
0.09,153
0.1,140
0.11,141
0.12,141
0.13,135
0.14,137
0.15,153
0.16,156
0.17,148
0.18,143
0.19,152
0.2,144
0.21,144
0.22,140
0.23,153
0.24,150
0.25,142
0.26,148
0.27,148
0.28,146
0.29,130
0.3,139
0.31,149
0.32,150
0.33,156
0.34,152
0.35,150
0.36,144
0.37,133
0.38,150
0.39,148
0.4,159
0.41,144
0.42,137
0.43,141
0.44,132
0.45,147
0.46,147
0.47,147
0.48,140
0.49,151
0.5,136
0.51,156
0.52,139
0.53,153
0.54,158
0.55,147
0.56,152
0.57,151
0.58,139
0.59,146
0.6,147
0.61,124
0.62,146
0.63,141
0.64,148
0.65,144
0.66,146
0.67,143
0.68,147
0.69,128
0.7,147
0.71,155
0.72,148
0.73,147
0.74,153
0.75,154
0.76,140
0.77,144
0.78,139
0.79,134
0.8,154
0.81,152
0.82,141
0.83,149
0.84,146
0.85,151
0.86,148
0.87,150
0.88,148
0.89,150
0.9,142
0.91,150
0.92,147
0.93,153
0.94,153
0.95,150
0.96,138
0.97,153
0.98,150
0.99,143
1,152
1.01,147
1.02,149
1.03,152
1.04,149
1.05,148
1.06,157
1.07,150
1.08,153
1.09,160
1.1,142
1.11,145
1.12,138
1.13,149
1.14,144
1.15,144
1.16,147
1.17,146
1.18,153
1.19,148
1.2,158
1.21,152
1.22,147
1.23,147
1.24,148
1.25,155
1.26,157
1.27,148
1.28,142
1.29,143
1.3,150
1.31,149
1.32,145
1.33,154
1.34,155
1.35,151
1.36,156
1.37,155
1.38,166
1.39,154
1.4,141
1.41,148
1.42,144
1.43,154
1.44,156
1.45,152
1.46,148
1.47,156
1.48,158
1.49,144
1.5,146
1.51,153
1.52,156
1.53,156
1.54,164
1.55,145
1.56,149
1.57,158
1.58,147
1.59,151
1.6,156
1.61,151
1.62,156
1.63,154
1.64,150
1.65,151
1.66,157
1.67,149
1.68,160
1.69,153
1.7,149
1.71,153
1.72,151
1.73,150
1.74,153
1.75,159
1.76,148
1.77,153
1.78,160
1.79,159
1.8,164
1.81,153
1.82,158
1.83,158
1.84,157
1.85,161
1.86,154
1.87,133
1.88,155
1.89,163
1.9,149
1.91,161
1.92,158
1.93,148
1.94,154
1.95,160
1.96,157
1.97,156
1.98,156
1.99,145
2,155
2.01,145
2.02,149
2.03,163
2.04,156
2.05,157
2.06,150
2.07,153
2.08,159
2.09,158
2.1,152
2.11,155
2.12,160
2.13,148
2.14,159
2.15,161
2.16,145
2.17,158
2.18,158
2.19,159
2.2,155
2.21,156
2.22,159
2.23,141
2.24,154
2.25,163
2.26,161
2.27,151
2.28,149
2.29,159
2.3,165
2.31,153
2.32,160
2.33,171
2.34,153
2.35,161
2.36,163
2.37,166
2.38,165
2.39,170
2.4,164
2.41,155
2.42,165
2.43,171
2.44,166
2.45,164
2.46,166
2.47,161
2.48,168
2.49,167
2.5,167
2.51,171
2.52,161
2.53,168
2.54,180
2.55,161
2.56,167
2.57,163
2.58,176
2.59,171
2.6,171
2.61,170
2.62,171
2.63,170
